typeProbleme,type_encoded,nbTicketsOuverts_admin,creationDate,heureCreation,heure_sin,heure_cos,jourCreation,tempsReponse
CONFIG_MODEM,3,7,2025-11-11T10:03:06.536591+00:00,10,0.4882404967948931,-0.8727091252470527,2,8.12
DEBIT_FAIBLE,3,5,2026-01-20T12:05:06.536591+00:00,12,-0.022251111421819826,-0.9997524133706773,2,7.22
CABLE_ENDOMMAGE,2,7,2026-01-03T04:35:06.536591+00:00,4,0.9321659239847722,0.36203133864572534,6,11.62
CONFIG_MODEM,3,5,2026-03-14T19:14:06.536591+00:00,19,-0.9481851146622192,0.3177184104407456,6,7.33
QUALITE_DEGRADEE,1,10,2025-11-12T16:20:06.536591+00:00,16,-0.9064921027603543,-0.42222277014996634,3,12.57
CONFIG_MODEM,3,6,2026-03-06T14:09:06.536591+00:00,14,-0.5339834834841777,-0.8454949079480626,5,5.75
MODEM_DEFECTUEUX,2,6,2026-02-08T00:34:06.536591+00:00,0,0.1482409366247577,0.9889512751943923,0,14.64
MODEM_DEFECTUEUX,2,4,2026-01-22T23:08:06.536591+00:00,23,-0.22452588379951915,0.9744681254428207,4,10.56
MODEM_DEFECTUEUX,2,5,2026-03-23T11:13:06.536591+00:00,11,0.203214542592935,-0.9791342347598434,1,8.93
MODEM_DEFECTUEUX,2,5,2026-03-26T08:45:06.536591+00:00,8,0.7515520420336943,-0.6596738043267931,4,7.78
CABLE_ENDOMMAGE,2,5,2026-01-19T05:43:06.536591+00:00,5,0.9972824260962202,0.07367335067469839,1,13.68
CONFIG_MODEM,3,6,2026-02-22T17:12:06.536591+00:00,17,-0.9782382262071329,-0.2074848736344952,0,10.18
MODEM_DEFECTUEUX,2,8,2025-11-26T05:25:06.536591+00:00,5,0.9884277927295718,0.15169211765858684,3,11.84
MODEM_DEFECTUEUX,2,4,2026-01-26T17:28:06.536591+00:00,17,-0.9903287001941614,-0.1387410017685572,1,8.78
CABLE_ENDOMMAGE,2,4,2026-01-17T11:51:06.536591+00:00,11,0.03882381611904793,-0.9992460714468455,6,8.72
MODEM_DEFECTUEUX,2,8,2025-11-21T16:21:06.536591+00:00,16,-0.9083257621421035,-0.41826344548497996,5,10.77
DEBIT_FAIBLE,3,4,2026-02-26T16:14:06.536591+00:00,16,-0.8951289669282614,-0.4458072818673373,4,7.74
CONFIG_MODEM,3,3,2025-12-13T21:03:06.536591+00:00,21,-0.6974778477430912,0.7166063437534343,6,6.55
QUALITE_DEGRADEE,1,8,2026-01-05T14:31:06.536591+00:00,14,-0.6125622251553138,-0.7904223683023973,1,12.25
DEBIT_FAIBLE,3,9,2026-04-03T11:45:06.536591+00:00,11,0.06496772492601947,-0.9978873657472256,5,9.74
QUALITE_DEGRADEE,1,5,2026-02-04T11:25:06.536591+00:00,11,0.15169211765858734,-0.9884277927295718,3,9.03
QUALITE_DEGRADEE,1,4,2025-12-24T16:25:06.536591+00:00,16,-0.915487123377417,-0.402347271557969,3,11.35
COUPURE_TOTALE,1,7,2026-03-27T09:12:06.536591+00:00,9,0.6688062845720428,-0.7434367180311581,5,11.18
COUPURE_TOTALE,1,8,2025-11-29T13:21:06.536591+00:00,13,-0.34652638731224084,-0.9380402245619998,6,11.87
CABLE_ENDOMMAGE,2,7,2025-12-18T09:35:06.536591+00:00,9,0.5909577142467572,-0.8067025349980301,4,9.5
COUPURE_TOTALE,1,9,2025-11-21T07:35:06.536591+00:00,7,0.915135660599092,-0.4031460314822204,5,11.95
DEBIT_FAIBLE,3,5,2025-11-03T21:06:06.536591+00:00,21,-0.6880380059002064,0.7256746532964119,1,9.84
COUPURE_TOTALE,1,5,2026-03-30T14:13:06.536591+00:00,14,-0.5486580759873994,-0.8360468381937731,1,12.1
